imageId,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
30,2.09E+00,3.38E+00,0.00E+00,3.75E+00,2.49E+00,0.00E+00,2.41E+00,2.07E+00,1.89E+00,1.06E+00,2.06E+00,0.00E+00,3.37E+00,7.97E-01,0.00E+00
30,2.96E+00,2.57E+00,0.00E+00,3.23E+00,1.47E+00,0.00E+00,2.10E+00,2.48E+00,1.57E+00,2.05E+00,1.81E+00,0.00E+00,3.71E+00,7.89E-01,0.00E+00
30,2.50E+00,1.32E+00,0.00E+00,2.85E+00,2.26E+00,0.00E+00,2.41E+00,2.92E+00,2.53E+00,1.87E+00,1.86E+00,0.00E+00,4.11E+00,8.69E-01,0.00E+00
30,2.80E+00,1.35E+00,0.00E+00,2.63E+00,2.10E+00,0.00E+00,2.51E+00,2.39E+00,2.32E+00,1.82E+00,2.09E+00,0.00E+00,3.10E+00,1.19E+00,0.00E+00
30,2.15E+00,1.55E+00,0.00E+00,2.57E+00,1.87E+00,0.00E+00,2.45E+00,2.37E+00,2.02E+00,1.20E+00,2.18E+00,0.00E+00,3.40E+00,1.90E+00,0.00E+00
30,2.33E+00,1.59E+00,0.00E+00,1.68E+00,1.88E+00,0.00E+00,2.04E+00,2.97E+00,2.52E+00,1.62E+00,1.59E+00,0.00E+00,2.61E+00,6.74E-01,0.00E+00
30,2.44E+00,1.94E+00,0.00E+00,3.96E+00,1.58E+00,0.00E+00,2.99E+00,1.63E+00,1.83E+00,7.96E-01,1.30E+00,0.00E+00,3.48E+00,1.00E+00,0.00E+00
30,2.59E+00,1.82E+00,0.00E+00,2.32E+00,9.00E-01,0.00E+00,2.39E+00,2.66E+00,2.07E+00,1.79E+00,2.05E+00,0.00E+00,3.36E+00,9.30E-01,0.00E+00
30,1.53E+00,1.13E+00,0.00E+00,2.32E+00,2.37E+00,0.00E+00,2.79E+00,3.03E+00,1.96E+00,1.27E+00,2.34E+00,0.00E+00,3.23E+00,1.16E+00,0.00E+00
30,1.18E+00,2.10E+00,0.00E+00,2.60E+00,2.53E+00,0.00E+00,2.49E+00,1.97E+00,2.92E+00,2.99E+00,2.56E+00,0.00E+00,2.13E+00,1.62E+00,0.00E+00
30,2.50E+00,3.22E+00,0.00E+00,2.74E+00,1.45E+00,0.00E+00,3.97E+00,1.30E+00,2.11E+00,1.91E-01,2.85E+00,0.00E+00,2.76E+00,2.38E+00,0.00E+00
30,1.02E+00,2.90E+00,0.00E+00,1.82E+00,1.22E+00,0.00E+00,2.67E+00,3.29E+00,2.33E+00,1.20E+00,2.90E+00,0.00E+00,3.16E+00,1.28E+00,0.00E+00
30,1.67E+00,3.00E+00,0.00E+00,3.75E+00,2.19E+00,0.00E+00,3.49E+00,2.71E+00,2.60E+00,5.29E-01,1.20E+00,0.00E+00,2.29E+00,0.00E+00,0.00E+00
30,2.85E+00,3.27E+00,0.00E+00,3.87E+00,6.61E-01,0.00E+00,2.82E+00,1.56E+00,1.14E+00,1.08E+00,2.58E+00,0.00E+00,3.82E+00,6.65E-01,0.00E+00
30,2.06E+00,1.99E+00,0.00E+00,3.08E+00,1.50E+00,0.00E+00,2.74E+00,2.87E+00,2.71E+00,1.05E+00,1.58E+00,0.00E+00,3.97E+00,1.10E+00,0.00E+00
30,2.21E+00,2.16E+00,0.00E+00,3.01E+00,1.08E+00,0.00E+00,2.74E+00,2.33E+00,2.26E+00,8.06E-01,2.18E+00,0.00E+00,3.31E+00,6.25E-01,0.00E+00
30,1.96E+00,1.66E+00,0.00E+00,3.24E+00,1.66E+00,0.00E+00,2.78E+00,2.23E+00,1.89E+00,1.59E+00,1.76E+00,0.00E+00,2.90E+00,1.00E+00,0.00E+00
30,1.06E+00,2.25E+00,0.00E+00,3.29E+00,1.90E+00,0.00E+00,3.90E+00,1.70E+00,3.31E+00,3.62E+00,2.97E+00,0.00E+00,3.41E+00,1.81E+00,0.00E+00
30,2.78E+00,2.55E+00,0.00E+00,1.51E+00,2.07E+00,0.00E+00,4.40E+00,2.30E+00,2.92E+00,3.28E-01,4.23E+00,0.00E+00,1.71E+00,2.37E+00,0.00E+00
30,1.83E+00,3.15E+00,0.00E+00,2.54E+00,2.43E+00,0.00E+00,2.87E+00,2.48E+00,2.83E+00,8.53E-01,2.15E+00,0.00E+00,2.01E+00,1.14E+00,0.00E+00
30,2.53E+00,2.75E+00,0.00E+00,3.18E+00,1.69E+00,0.00E+00,2.11E+00,2.04E+00,1.40E+00,1.44E+00,2.44E+00,0.00E+00,3.33E+00,5.99E-01,0.00E+00
30,2.34E+00,1.82E+00,0.00E+00,2.46E+00,2.23E+00,0.00E+00,2.44E+00,3.10E+00,2.40E+00,1.80E+00,2.45E+00,0.00E+00,3.59E+00,8.83E-01,0.00E+00
30,2.17E+00,1.23E+00,0.00E+00,2.63E+00,3.33E+00,0.00E+00,2.41E+00,2.52E+00,2.91E+00,3.34E+00,2.82E+00,0.00E+00,2.73E+00,1.25E+00,0.00E+00
30,3.27E+00,2.46E+00,0.00E+00,2.78E+00,2.41E+00,0.00E+00,3.38E+00,1.82E+00,3.02E+00,9.15E-01,3.50E+00,0.00E+00,2.81E+00,2.46E+00,0.00E+00
30,1.66E+00,2.47E+00,0.00E+00,3.49E+00,1.97E+00,0.00E+00,2.69E+00,2.31E+00,3.34E+00,2.54E+00,2.48E+00,0.00E+00,3.21E+00,2.17E+00,0.00E+00
30,2.36E+00,2.69E+00,0.00E+00,2.04E+00,1.41E+00,0.00E+00,4.34E+00,2.73E+00,2.62E+00,7.86E-01,3.90E+00,0.00E+00,2.85E+00,2.22E+00,0.00E+00
30,1.58E+00,2.99E+00,0.00E+00,2.55E+00,2.30E+00,0.00E+00,3.25E+00,3.03E+00,3.27E+00,6.47E-01,2.11E+00,0.00E+00,2.28E+00,1.08E+00,0.00E+00
31,1.92E+00,3.63E+00,0.00E+00,3.24E+00,3.81E+00,0.00E+00,2.42E+00,2.61E+00,1.95E+00,8.35E-01,3.16E+00,0.00E+00,1.44E+00,1.46E+00,0.00E+00
31,2.13E+00,3.76E+00,0.00E+00,3.72E+00,1.57E+00,0.00E+00,1.83E+00,2.47E+00,1.49E+00,1.34E+00,2.55E+00,0.00E+00,3.77E+00,1.74E+00,0.00E+00
31,1.19E+00,1.90E+00,0.00E+00,2.64E+00,2.10E+00,0.00E+00,1.55E+00,3.50E+00,2.11E+00,1.99E+00,2.06E+00,0.00E+00,3.62E+00,1.08E+00,0.00E+00
31,1.53E+00,2.00E+00,0.00E+00,3.06E+00,2.28E+00,0.00E+00,2.36E+00,2.47E+00,1.95E+00,1.49E+00,1.90E+00,0.00E+00,3.11E+00,9.92E-01,0.00E+00
31,1.73E+00,2.39E+00,0.00E+00,2.93E+00,1.61E+00,0.00E+00,2.36E+00,2.42E+00,2.19E+00,1.68E+00,2.92E+00,0.00E+00,3.22E+00,1.00E+00,0.00E+00
31,1.01E+00,2.05E+00,0.00E+00,2.65E+00,2.36E+00,0.00E+00,3.01E+00,3.05E+00,2.07E+00,1.50E+00,3.44E+00,0.00E+00,3.07E+00,1.54E+00,0.00E+00
31,1.15E+00,3.11E+00,0.00E+00,2.50E+00,2.18E+00,0.00E+00,2.77E+00,2.78E+00,2.41E+00,5.91E-01,2.73E+00,0.00E+00,2.47E+00,1.61E+00,0.00E+00
31,1.89E+00,1.58E+00,0.00E+00,1.49E+00,2.71E+00,0.00E+00,2.63E+00,5.25E+00,6.05E-02,2.74E+00,3.03E+00,0.00E+00,1.02E+00,2.60E-01,0.00E+00
31,1.25E+00,3.35E+00,0.00E+00,3.36E+00,3.83E+00,0.00E+00,4.51E+00,4.08E+00,2.06E+00,1.77E+00,2.00E+00,0.00E+00,2.54E+00,1.44E+00,0.00E+00
31,1.64E+00,3.44E+00,0.00E+00,3.19E+00,2.11E+00,0.00E+00,1.90E+00,3.26E+00,9.04E-01,1.85E+00,2.78E+00,0.00E+00,3.20E+00,1.65E+00,0.00E+00
31,7.96E-01,2.59E+00,0.00E+00,2.72E+00,2.49E+00,0.00E+00,1.77E+00,3.57E+00,1.89E+00,1.53E+00,1.98E+00,0.00E+00,3.22E+00,1.21E+00,0.00E+00
31,1.70E+00,3.23E+00,0.00E+00,3.80E+00,1.51E+00,0.00E+00,2.38E+00,2.10E+00,2.06E+00,1.05E+00,1.60E+00,0.00E+00,3.40E+00,5.50E-01,0.00E+00
31,1.36E+00,2.77E+00,0.00E+00,3.50E+00,1.04E+00,0.00E+00,3.41E+00,2.50E+00,1.56E+00,1.83E+00,2.91E+00,0.00E+00,4.27E+00,1.22E+00,0.00E+00
31,9.76E-01,2.23E+00,0.00E+00,2.13E+00,2.38E+00,0.00E+00,3.50E+00,4.05E+00,2.75E+00,1.68E+00,3.15E+00,0.00E+00,2.58E+00,9.46E-01,0.00E+00
31,1.09E+00,2.48E+00,0.00E+00,3.12E+00,3.77E+00,0.00E+00,3.16E+00,2.55E+00,2.82E+00,3.00E+00,3.70E+00,0.00E+00,1.56E+00,1.30E+00,0.00E+00
31,3.59E+00,3.26E+00,0.00E+00,2.57E+00,2.74E+00,0.00E+00,3.11E+00,2.25E+00,2.16E+00,1.09E+00,4.35E+00,0.00E+00,1.37E+00,2.24E+00,0.00E+00
31,2.00E+00,2.59E+00,0.00E+00,2.86E+00,2.92E+00,0.00E+00,2.03E+00,3.30E+00,2.55E+00,1.84E+00,2.74E+00,0.00E+00,2.99E+00,1.73E+00,0.00E+00
31,1.74E+00,2.43E+00,0.00E+00,3.15E+00,2.36E+00,0.00E+00,2.25E+00,2.94E+00,1.90E+00,1.81E+00,2.50E+00,0.00E+00,3.46E+00,1.62E+00,0.00E+00
31,2.03E+00,2.02E+00,0.00E+00,3.02E+00,2.85E+00,0.00E+00,2.23E+00,2.81E+00,3.79E+00,3.65E+00,2.43E+00,0.00E+00,2.89E+00,4.67E-01,0.00E+00
31,2.82E+00,2.30E+00,0.00E+00,4.73E+00,2.36E+00,0.00E+00,3.97E+00,1.12E+00,2.17E+00,1.38E+00,3.24E+00,0.00E+00,3.85E+00,2.56E+00,0.00E+00
31,2.00E+00,2.15E+00,0.00E+00,2.01E+00,1.88E+00,0.00E+00,3.06E+00,4.32E+00,4.05E+00,3.72E+00,4.20E+00,0.00E+00,2.57E+00,1.09E+00,0.00E+00
31,1.31E+00,1.98E+00,0.00E+00,2.97E+00,4.49E+00,0.00E+00,4.78E+00,3.52E+00,2.43E+00,1.10E+00,4.61E+00,0.00E+00,2.59E+00,2.29E+00,0.00E+00
31,2.07E+00,4.00E+00,0.00E+00,2.38E+00,2.42E+00,0.00E+00,2.19E+00,3.33E+00,2.59E+00,1.22E+00,3.12E+00,0.00E+00,1.35E+00,1.83E+00,0.00E+00
31,2.01E+00,2.51E+00,0.00E+00,3.34E+00,3.03E+00,0.00E+00,1.25E+00,3.09E+00,2.04E+00,1.89E+00,2.88E+00,0.00E+00,2.82E+00,2.01E-01,0.00E+00
31,3.47E+00,1.20E+00,0.00E+00,2.87E+00,3.36E+00,0.00E+00,2.30E+00,3.97E+00,6.89E-01,3.21E+00,2.91E+00,0.00E+00,2.25E+00,7.93E-01,0.00E+00
31,2.60E+00,2.61E+00,0.00E+00,4.10E+00,2.93E+00,0.00E+00,4.42E+00,4.25E+00,3.01E+00,2.45E+00,2.22E+00,0.00E+00,3.59E+00,2.12E+00,0.00E+00
31,1.91E+00,3.32E+00,0.00E+00,3.37E+00,1.81E+00,0.00E+00,3.55E+00,3.52E+00,3.45E+00,1.77E+00,3.29E+00,0.00E+00,4.29E+00,1.55E+00,0.00E+00
31,2.06E+00,1.21E+00,0.00E+00,2.21E+00,3.37E+00,0.00E+00,2.79E+00,5.03E+00,1.74E+00,2.33E+00,3.78E+00,0.00E+00,1.90E+00,7.14E-01,0.00E+00
31,1.96E+00,3.55E+00,0.00E+00,3.18E+00,3.47E+00,0.00E+00,4.81E+00,4.14E+00,2.77E+00,1.54E+00,3.54E+00,0.00E+00,2.43E+00,1.78E+00,0.00E+00
31,2.41E+00,3.62E+00,0.00E+00,3.44E+00,2.83E+00,0.00E+00,2.07E+00,3.32E+00,2.98E+00,1.78E+00,3.36E+00,0.00E+00,2.75E+00,8.71E-01,0.00E+00
31,2.40E+00,1.81E+00,0.00E+00,3.65E+00,3.19E+00,0.00E+00,2.26E+00,3.39E+00,9.90E-01,2.41E+00,3.27E+00,0.00E+00,3.01E+00,1.71E+00,0.00E+00
31,1.92E+00,2.28E+00,0.00E+00,2.60E+00,2.61E+00,0.00E+00,2.84E+00,4.48E+00,1.88E+00,2.21E+00,2.05E+00,0.00E+00,2.60E+00,2.24E+00,0.00E+00
31,5.30E-01,3.15E+00,0.00E+00,3.28E+00,2.19E+00,0.00E+00,3.24E+00,3.48E+00,2.40E+00,1.96E+00,2.22E+00,0.00E+00,3.61E+00,1.66E+00,0.00E+00
31,1.34E-01,3.23E+00,0.00E+00,2.57E+00,1.99E+00,0.00E+00,3.19E+00,3.71E+00,2.03E+00,1.59E+00,4.44E+00,0.00E+00,3.31E+00,1.13E+00,0.00E+00
31,5.22E-01,3.02E+00,0.00E+00,2.12E+00,3.71E+00,0.00E+00,2.66E+00,4.17E+00,2.07E+00,8.37E-01,3.91E+00,0.00E+00,1.35E+00,8.76E-01,0.00E+00
32,2.17E+00,2.10E+00,0.00E+00,1.94E+00,1.22E+00,0.00E+00,2.22E+00,2.00E+00,2.04E+00,1.12E+00,1.66E+00,0.00E+00,2.40E+00,5.49E-01,0.00E+00
32,2.38E+00,1.67E+00,0.00E+00,3.38E+00,1.79E+00,0.00E+00,2.37E+00,1.64E+00,2.25E+00,1.40E+00,1.49E+00,0.00E+00,3.28E+00,4.92E-01,0.00E+00
32,3.29E+00,1.58E+00,0.00E+00,3.10E+00,1.20E+00,0.00E+00,2.52E+00,1.63E+00,2.13E+00,1.37E+00,1.61E+00,0.00E+00,3.64E+00,8.36E-01,0.00E+00
32,2.63E+00,1.00E+00,0.00E+00,2.97E+00,1.44E+00,0.00E+00,2.35E+00,2.16E+00,2.54E+00,1.40E+00,1.56E+00,0.00E+00,3.72E+00,1.50E+00,0.00E+00
32,1.71E+00,1.24E+00,0.00E+00,3.52E+00,1.07E+00,0.00E+00,1.66E+00,1.32E+00,2.74E+00,1.05E+00,1.26E+00,0.00E+00,3.36E+00,2.18E+00,0.00E+00
32,1.36E+00,1.94E+00,0.00E+00,2.33E+00,2.43E-01,0.00E+00,3.11E+00,2.22E+00,2.31E+00,1.39E+00,2.29E+00,0.00E+00,3.59E+00,1.16E+00,0.00E+00
32,9.24E-01,1.70E+00,0.00E+00,2.16E+00,2.09E+00,0.00E+00,3.31E+00,2.43E+00,2.50E+00,1.24E+00,2.35E+00,0.00E+00,2.69E+00,9.06E-01,0.00E+00
32,2.44E+00,2.58E+00,0.00E+00,2.84E+00,1.61E+00,0.00E+00,2.52E+00,1.28E+00,1.84E+00,5.96E-01,1.31E+00,0.00E+00,2.25E+00,9.00E-01,0.00E+00
32,2.24E+00,2.36E+00,0.00E+00,2.87E+00,8.38E-01,0.00E+00,2.54E+00,1.74E+00,1.85E+00,1.61E+00,1.91E+00,0.00E+00,3.88E+00,1.03E+00,0.00E+00
32,2.51E+00,3.31E-01,0.00E+00,1.82E+00,2.37E+00,0.00E+00,2.61E+00,3.51E+00,7.21E-01,2.25E+00,6.16E-01,0.00E+00,2.56E+00,9.61E-01,0.00E+00
32,7.58E-01,2.55E+00,0.00E+00,3.21E+00,1.21E+00,0.00E+00,3.80E+00,2.00E+00,1.79E+00,1.70E+00,1.35E+00,0.00E+00,3.74E+00,2.51E+00,0.00E+00
32,6.40E-01,3.16E+00,0.00E+00,2.22E+00,4.55E-01,0.00E+00,3.03E+00,2.21E+00,2.04E+00,5.88E-01,1.16E+00,0.00E+00,3.65E+00,1.07E+00,0.00E+00
32,9.69E-01,2.76E+00,0.00E+00,2.45E+00,1.08E+00,0.00E+00,2.77E+00,1.59E+00,2.06E+00,8.93E-01,1.60E+00,0.00E+00,3.53E+00,1.27E-01,0.00E+00
32,1.99E+00,2.05E+00,0.00E+00,2.59E+00,1.34E+00,0.00E+00,2.57E+00,1.65E+00,8.79E-01,8.13E-01,1.78E+00,0.00E+00,3.10E+00,6.09E-01,0.00E+00
32,1.96E+00,2.22E+00,0.00E+00,2.24E+00,1.21E+00,0.00E+00,2.80E+00,2.33E+00,1.71E+00,1.18E+00,1.20E+00,0.00E+00,3.04E+00,1.03E+00,0.00E+00
32,1.60E+00,2.40E+00,0.00E+00,2.82E+00,1.14E+00,0.00E+00,3.19E+00,1.86E+00,1.85E+00,1.17E+00,1.25E+00,0.00E+00,3.70E+00,9.79E-01,0.00E+00
32,2.56E+00,2.16E+00,0.00E+00,3.29E+00,9.39E-01,0.00E+00,2.37E+00,9.26E-01,2.23E+00,1.02E+00,0.00E+00,0.00E+00,3.59E+00,4.47E-01,0.00E+00
32,2.41E+00,1.89E+00,0.00E+00,3.07E+00,0.00E+00,0.00E+00,3.37E+00,1.24E+00,1.32E+00,1.04E+00,1.46E+00,0.00E+00,4.89E+00,1.13E+00,0.00E+00
32,1.33E+00,1.88E+00,0.00E+00,1.93E+00,6.83E-01,0.00E+00,3.53E+00,2.58E+00,2.53E+00,6.28E-01,1.15E+00,0.00E+00,3.67E+00,1.16E+00,0.00E+00
32,1.88E+00,2.29E+00,0.00E+00,2.62E+00,8.66E-01,0.00E+00,2.91E+00,1.52E+00,2.10E+00,4.34E-01,7.66E-01,0.00E+00,2.60E+00,1.91E-01,0.00E+00
32,2.19E+00,1.77E+00,0.00E+00,3.80E+00,6.00E-01,0.00E+00,1.64E+00,7.81E-01,1.53E+00,6.46E-01,1.20E+00,0.00E+00,3.31E+00,9.80E-01,0.00E+00
32,1.93E+00,1.63E+00,0.00E+00,2.53E+00,3.91E-01,0.00E+00,2.56E+00,2.04E+00,2.13E+00,1.34E+00,1.56E+00,0.00E+00,3.89E+00,8.39E-01,0.00E+00
32,1.62E+00,1.74E+00,0.00E+00,2.52E+00,1.29E+00,0.00E+00,3.26E+00,1.93E+00,2.46E+00,7.00E-01,1.73E+00,0.00E+00,3.50E+00,7.07E-01,0.00E+00
32,2.35E+00,2.02E+00,0.00E+00,2.50E+00,1.12E+00,0.00E+00,2.55E+00,1.59E+00,1.90E+00,6.86E-01,1.51E+00,0.00E+00,2.68E+00,6.41E-01,0.00E+00
32,1.67E+00,2.49E+00,0.00E+00,2.48E+00,8.31E-01,0.00E+00,3.56E+00,2.05E+00,2.00E+00,8.71E-01,2.30E+00,0.00E+00,3.97E+00,1.15E+00,0.00E+00
32,1.22E+00,2.37E+00,0.00E+00,2.38E+00,1.45E+00,0.00E+00,2.62E+00,2.05E+00,2.33E+00,3.41E-01,1.82E+00,0.00E+00,3.25E+00,1.16E+00,0.00E+00
32,1.33E+00,2.69E+00,0.00E+00,2.24E+00,1.02E+00,0.00E+00,2.70E+00,2.10E+00,1.73E+00,8.68E-01,2.45E+00,0.00E+00,3.16E+00,6.97E-01,0.00E+00
32,1.12E+00,2.27E+00,0.00E+00,3.92E+00,1.47E+00,0.00E+00,1.91E+00,9.05E-01,1.37E+00,2.96E-04,3.63E-01,0.00E+00,3.42E+00,1.72E+00,0.00E+00
32,1.39E+00,2.41E+00,0.00E+00,1.40E+00,0.00E+00,0.00E+00,2.07E+00,3.14E+00,1.56E+00,1.70E+00,2.88E+00,0.00E+00,3.41E+00,1.75E-01,0.00E+00
32,1.00E+00,1.51E+00,0.00E+00,2.87E+00,3.34E+00,0.00E+00,3.12E+00,2.60E+00,2.23E+00,6.44E-01,1.16E+00,0.00E+00,2.55E+00,4.18E-01,0.00E+00
32,3.23E+00,3.30E+00,0.00E+00,3.40E+00,4.09E-01,0.00E+00,2.40E+00,9.36E-01,1.35E+00,1.08E+00,1.10E+00,0.00E+00,2.80E+00,6.75E-01,0.00E+00
32,2.59E+00,1.43E+00,0.00E+00,3.27E+00,1.24E+00,0.00E+00,2.43E+00,1.97E+00,2.48E+00,2.00E+00,1.14E+00,0.00E+00,4.46E+00,5.17E-01,0.00E+00
32,2.99E+00,1.17E+00,0.00E+00,3.72E+00,1.25E+00,0.00E+00,2.98E+00,1.24E+00,2.58E+00,1.48E+00,1.01E+00,0.00E+00,3.89E+00,1.27E+00,0.00E+00
32,2.98E+00,1.75E+00,0.00E+00,3.35E+00,1.81E-01,0.00E+00,3.61E+00,1.47E+00,2.76E+00,1.30E+00,9.65E-01,0.00E+00,3.94E+00,1.46E+00,0.00E+00
32,1.74E+00,1.26E+00,0.00E+00,2.41E+00,9.89E-01,0.00E+00,3.33E+00,2.20E+00,2.63E+00,1.62E+00,2.22E+00,0.00E+00,3.83E+00,1.22E+00,0.00E+00
33,1.73E+00,1.43E+00,0.00E+00,3.13E+00,9.63E-01,0.00E+00,2.13E+00,2.34E+00,1.53E+00,1.78E+00,1.89E+00,0.00E+00,2.60E+00,6.31E-01,0.00E+00
33,2.14E+00,6.12E-01,0.00E+00,4.05E+00,1.69E+00,0.00E+00,7.34E-01,1.89E+00,1.75E+00,4.81E-01,9.80E-01,0.00E+00,2.20E+00,1.17E+00,0.00E+00
33,2.21E+00,1.08E+00,0.00E+00,2.78E+00,5.96E-01,0.00E+00,1.54E+00,2.32E+00,1.55E+00,2.06E+00,1.93E+00,0.00E+00,2.89E+00,1.11E+00,0.00E+00
33,1.59E+00,6.93E-01,0.00E+00,3.22E+00,1.81E+00,0.00E+00,2.17E+00,2.65E+00,2.06E+00,9.41E-01,1.34E+00,0.00E+00,2.84E+00,1.15E+00,0.00E+00
33,2.54E+00,9.21E-01,0.00E+00,3.20E+00,1.15E+00,0.00E+00,4.48E-01,1.96E+00,1.95E+00,9.61E-01,1.27E+00,0.00E+00,1.79E+00,9.15E-01,0.00E+00
33,2.09E+00,1.05E+00,0.00E+00,3.60E+00,9.94E-01,0.00E+00,1.57E+00,1.95E+00,2.34E+00,1.28E+00,2.22E+00,0.00E+00,3.56E+00,7.45E-01,0.00E+00
33,1.07E+00,8.44E-01,0.00E+00,2.33E+00,1.71E+00,0.00E+00,2.80E+00,3.31E+00,1.89E+00,1.63E+00,3.99E+00,0.00E+00,2.78E+00,1.66E+00,0.00E+00
33,4.89E-01,1.89E+00,0.00E+00,1.71E+00,3.21E+00,0.00E+00,3.33E+00,4.63E+00,2.36E+00,1.17E+00,3.45E+00,0.00E+00,4.28E-01,1.63E+00,0.00E+00
33,1.52E+00,3.63E+00,0.00E+00,3.76E+00,2.70E+00,0.00E+00,2.28E+00,2.55E+00,1.64E+00,5.76E-01,1.82E+00,0.00E+00,9.64E-01,1.13E+00,0.00E+00
33,2.66E+00,2.41E+00,0.00E+00,4.53E+00,1.20E+00,0.00E+00,0.00E+00,2.02E+00,1.01E+00,1.30E+00,1.34E+00,0.00E+00,2.90E+00,7.37E-01,0.00E+00
33,1.95E+00,1.17E+00,0.00E+00,4.01E+00,9.31E-01,0.00E+00,1.85E+00,2.81E+00,1.73E+00,1.89E+00,1.45E+00,0.00E+00,4.29E+00,1.08E+00,0.00E+00
33,1.21E+00,8.87E-01,0.00E+00,3.30E+00,2.08E+00,0.00E+00,2.87E+00,2.32E+00,3.15E+00,3.63E+00,2.07E+00,0.00E+00,2.91E+00,1.38E+00,0.00E+00
33,2.51E+00,1.25E+00,0.00E+00,2.99E+00,2.84E+00,0.00E+00,4.44E+00,1.76E+00,3.40E+00,3.97E+00,3.44E+00,0.00E+00,1.18E+00,2.02E+00,0.00E+00
33,4.22E+00,1.49E+00,0.00E+00,2.90E+00,2.71E+00,0.00E+00,2.76E+00,1.89E+00,2.64E+00,7.57E-01,2.89E+00,0.00E+00,2.73E-01,3.07E+00,0.00E+00
33,2.44E+00,1.68E+00,0.00E+00,2.89E+00,1.52E+00,0.00E+00,1.72E+00,3.03E+00,2.08E+00,2.11E+00,1.95E+00,0.00E+00,2.78E+00,1.74E+00,0.00E+00
33,1.80E+00,9.07E-01,0.00E+00,3.89E+00,1.95E+00,0.00E+00,1.51E+00,2.73E+00,1.90E+00,1.25E+00,9.99E-01,0.00E+00,3.04E+00,1.41E+00,0.00E+00
33,2.00E+00,1.46E+00,0.00E+00,2.73E+00,9.62E-01,0.00E+00,2.16E+00,2.86E+00,1.67E+00,2.03E+00,1.95E+00,0.00E+00,2.81E+00,1.01E+00,0.00E+00
33,1.68E+00,1.72E+00,0.00E+00,4.11E+00,1.63E+00,0.00E+00,3.20E+00,2.60E+00,2.39E+00,1.01E+00,1.20E+00,0.00E+00,2.78E+00,9.34E-01,0.00E+00
33,2.58E+00,2.14E+00,0.00E+00,3.01E+00,7.38E-01,0.00E+00,2.89E+00,2.60E+00,1.71E+00,1.46E+00,2.10E+00,0.00E+00,2.74E+00,6.57E-01,0.00E+00
33,9.76E-01,1.74E+00,0.00E+00,2.86E+00,1.97E+00,0.00E+00,3.73E+00,3.38E+00,1.91E+00,1.60E+00,3.01E+00,0.00E+00,3.25E+00,1.56E+00,0.00E+00
33,1.02E+00,2.47E+00,0.00E+00,2.32E+00,2.40E+00,0.00E+00,2.93E+00,3.62E+00,2.22E+00,1.35E+00,2.69E+00,0.00E+00,1.54E+00,1.39E+00,0.00E+00
33,1.97E+00,2.25E+00,0.00E+00,4.00E+00,2.57E+00,0.00E+00,9.61E-01,2.28E+00,1.66E+00,1.17E+00,1.51E+00,0.00E+00,1.65E+00,8.08E-01,0.00E+00
33,2.68E+00,1.81E+00,0.00E+00,4.62E+00,9.61E-01,0.00E+00,7.86E-01,2.22E+00,1.05E+00,1.54E+00,1.72E+00,0.00E+00,3.34E+00,1.21E+00,0.00E+00
33,1.79E+00,8.77E-01,0.00E+00,3.10E+00,1.42E+00,0.00E+00,2.06E+00,3.49E+00,2.32E+00,2.17E+00,1.56E+00,0.00E+00,3.69E+00,1.20E+00,0.00E+00
33,1.22E+00,8.49E-01,0.00E+00,4.09E+00,2.74E+00,0.00E+00,2.71E+00,1.43E+00,3.73E+00,4.30E+00,1.99E+00,0.00E+00,2.38E+00,1.48E+00,0.00E+00
33,4.28E+00,1.87E+00,0.00E+00,2.67E+00,1.22E+00,0.00E+00,3.80E+00,1.22E+00,2.39E+00,6.13E-01,3.14E+00,0.00E+00,1.42E+00,2.60E+00,0.00E+00
33,1.66E+00,2.06E+00,0.00E+00,2.54E+00,1.38E+00,0.00E+00,3.05E+00,3.05E+00,3.08E+00,1.41E+00,2.64E+00,0.00E+00,3.01E+00,1.45E+00,0.00E+00
33,1.87E+00,1.67E+00,0.00E+00,3.16E+00,2.08E+00,0.00E+00,2.30E+00,2.61E+00,1.83E+00,5.54E-01,2.21E+00,0.00E+00,2.14E+00,9.83E-01,0.00E+00
33,2.12E+00,2.14E+00,0.00E+00,3.06E+00,1.41E+00,0.00E+00,2.01E+00,2.51E+00,1.67E+00,1.49E+00,2.00E+00,0.00E+00,2.41E+00,1.01E+00,0.00E+00
33,2.10E+00,1.48E+00,0.00E+00,4.62E+00,1.42E+00,0.00E+00,1.51E+00,2.23E+00,1.93E+00,7.80E-01,9.06E-01,0.00E+00,2.90E+00,1.07E+00,0.00E+00
33,2.23E+00,1.53E+00,0.00E+00,3.31E+00,4.53E-01,0.00E+00,2.32E+00,2.61E+00,1.62E+00,1.87E+00,1.74E+00,0.00E+00,3.39E+00,9.83E-01,0.00E+00
33,1.89E+00,6.16E-01,0.00E+00,3.84E+00,1.75E+00,0.00E+00,1.53E+00,2.51E+00,2.52E+00,1.02E+00,1.04E+00,0.00E+00,2.66E+00,9.39E-01,0.00E+00
33,2.26E+00,1.50E+00,0.00E+00,3.12E+00,6.82E-01,0.00E+00,2.41E+00,2.01E+00,1.66E+00,1.60E+00,2.24E+00,0.00E+00,2.95E+00,1.11E+00,0.00E+00
